2025-03-05 01:29:51,980 - WARNING - [VULNERABILITY] {'timestamp': '2025-03-05T01:29:51.980621', 'url': 'http://testphp.vulnweb.com/admin/', 'vulnerability': 'sensitive', 'payload': 'Sensitive File Found'}
2025-03-05 01:30:39,080 - WARNING - [VULNERABILITY] {'timestamp': '2025-03-05T01:30:39.080758', 'url': 'http://testphp.vulnweb.com/disclaimer.php', 'vulnerability': 'xss', 'payload': "<script>alert('XSS')</script>"}
2025-03-05 01:30:39,387 - WARNING - [VULNERABILITY] {'timestamp': '2025-03-05T01:30:39.387691', 'url': 'http://testphp.vulnweb.com/disclaimer.php', 'vulnerability': 'xss', 'payload': "<img src='x' onerror='alert(1)'>"}
2025-03-05 01:30:39,709 - WARNING - [VULNERABILITY] {'timestamp': '2025-03-05T01:30:39.709286', 'url': 'http://testphp.vulnweb.com/disclaimer.php', 'vulnerability': 'xss', 'payload': "<svg/onload=alert('XSS')>"}
2025-03-05 01:30:40,004 - WARNING - [VULNERABILITY] {'timestamp': '2025-03-05T01:30:40.004590', 'url': 'http://testphp.vulnweb.com/disclaimer.php', 'vulnerability': 'xss', 'payload': '<body onload=alert(1)>'}
2025-03-05 01:30:40,568 - WARNING - [VULNERABILITY] {'timestamp': '2025-03-05T01:30:40.568197', 'url': 'http://testphp.vulnweb.com/search.php?test=query', 'vulnerability': 'xss', 'payload': "<script>alert('XSS')</script>"}
2025-03-05 01:30:40,802 - WARNING - [VULNERABILITY] {'timestamp': '2025-03-05T01:30:40.802284', 'url': 'http://testphp.vulnweb.com/search.php?test=query', 'vulnerability': 'xss', 'payload': "<img src='x' onerror='alert(1)'>"}
2025-03-05 01:30:41,025 - WARNING - [VULNERABILITY] {'timestamp': '2025-03-05T01:30:41.025881', 'url': 'http://testphp.vulnweb.com/search.php?test=query', 'vulnerability': 'xss', 'payload': "<svg/onload=alert('XSS')>"}
2025-03-05 01:30:41,345 - WARNING - [VULNERABILITY] {'timestamp': '2025-03-05T01:30:41.345111', 'url': 'http://testphp.vulnweb.com/search.php?test=query', 'vulnerability': 'xss', 'payload': '<body onload=alert(1)>'}
2025-03-05 01:30:43,182 - WARNING - [VULNERABILITY] {'timestamp': '2025-03-05T01:30:43.182537', 'url': 'http://testphp.vulnweb.com/login.php', 'vulnerability': 'xss', 'payload': "<script>alert('XSS')</script>"}
2025-03-05 01:30:43,483 - WARNING - [VULNERABILITY] {'timestamp': '2025-03-05T01:30:43.482512', 'url': 'http://testphp.vulnweb.com/login.php', 'vulnerability': 'xss', 'payload': "<img src='x' onerror='alert(1)'>"}
